,Name,Address,Salary,DOJ,DOB,Age,Sex,Dependents,HRA,DA,PF,Gross Salary,Insurance,Marital Status,In Company Years,Year of Experience,Department,Position
0,VgwbPyBn,"jyNxKZtk St, piZQhYcARo, PUN 172813",149289.04,27-04-1998,27-03-1971,53,Other,2,8776.096,35233.66637,22142.72476,171156.0776,None,Widowed,26,32,Sales,Sales Director
1,pgdYaIWk,"PypVsqug St, iHyelKZbFc, BLR 580530",69761.64,24-10-2020,12-12-1997,26,Male,0,9302.836,16464.42599,10347.12792,85181.77407,Both,Single,3,5,Human Resources,HR Executive
2,eWgVBGVv,"pfQezTVa St, YfIaELfpUw, BLR 155186",107633.14,22-07-2020,20-08-1979,44,Female,2,13357.686,25402.46856,15964.27303,130429.0215,None,Divorced,3,23,Marketing,Senior Marketing Executive
3,LYDofRRu,"wcTsbmFr St, UdylzZFFCU, AMD 843852",147408.65,27-03-2007,07-06-1966,58,Male,1,6026.135,34789.87603,21863.82312,166360.8379,None,Married,17,37,Finance,Account Director
4,vhLFHcRg,"DdxKVhli St, cYOjpbMztB, BLR 713383",53447.06,23-05-2017,19-11-1992,31,Male,2,7554.294,12614.02633,7927.330359,65688.04997,Life,Married,7,10,Sales,Sales Executive
5,mNWPWGPP,"vuHIgjXl St, IodaWueNON, PUN 605979",106580.11,20-07-2022,16-05-1990,34,Female,1,11491.989,25153.94324,15808.08639,127417.9558,Medical,Married,1,13,Sales,Regional Sales Manager
6,vjbszTQW,"LLOOZxHr St, iiZXVGMuRa, DEL 672793",146007.75,12-07-2022,04-12-1971,52,Other,2,6581.225,34459.25,21656.04,165392.185,None,Married,2,31,Finance,National Account Head
7,zXUdTHaJ,"XyBINigj St, BxfKiOEuiT, DEL 254142",76986.74,10-08-2019,06-12-1991,32,Female,3,7467.326,18169.6199,11418.76319,91204.92271,Life,Married,4,11,Sales,Senior Executive
8,sIZQRTaq,"ZrqSMeKj St, BSMxlzAcjl, BLR 743922",134973.46,06-11-2005,05-11-1965,58,Other,1,9632.654,31855.05017,20019.42122,156441.7429,Medical,Divorced,18,37,IT,Technical Lead
9,DTjnhgxd,"ZEeBgofu St, BGXeaFhWmT, CHN 978281",120881.83,23-12-2006,24-09-1968,55,Female,2,10167.817,28529.28835,17929.3342,141649.6011,Both,Married,17,34,Marketing,National Marketing Manager
10,eBRYbQan,"wfXTduBi St, cVZIuyZwoH, PUN 942002",111585.44,27-11-2007,19-06-1974,50,Other,4,13397.456,26335.24983,16550.48278,134767.6631,Both,Married,16,29,Marketing,National Marketing Manager
11,eWLUSyxM,"mXNzUhRW St, MNtLblAkxo, DEL 748567",110267.59,26-04-2021,03-02-1976,48,Female,1,11370.241,26024.2244,16355.01773,131307.0377,Medical,Married,3,27,IT,IT Manager
12,TNOqMntI,"xPZmWZXy St, vbVuwQQynw, KOL 996770",137839.33,10-01-1993,05-02-1964,60,Male,1,4807.067,32531.42338,20444.49041,154733.33,Medical,Married,31,39,Marketing,National Marketing Manager
13,YEzLYCDP,"dFNERDKi St, jWEHbKUscN, KOL 785625",112335.02,25-09-1999,05-12-1968,55,Female,1,12857.498,26512.158,16661.66136,135043.0146,Life,Married,24,34,Finance,Account Director
14,dTYeJIMp,"uxCvqweZ St, cjbgwWkfII, MUB 484886",61292.38,01-09-2022,20-08-1998,25,Female,3,7180.762,14465.5982,9090.957384,73847.78282,Both,Married,1,4,Sales,Sales Representative
15,WblJTjKQ,"zXJyzhSA St, lwDImiwBuY, MUB 832618",54536.79,01-06-2023,05-04-1999,25,Other,0,5682.321,12871.21321,8088.960385,65001.36383,Medical,Single,1,4,IT,Software Engineer II
16,YoIurhqK,"cwoNaCzs St, FahGyBPTBS, HYD 843200",125585.83,04-11-1989,13-04-1968,56,Other,4,7708.417,29639.47813,18627.03698,144306.6882,Medical,Married,34,35,Finance,National Account Head
17,OYqIOSgW,"ohQMGTOK St, teOUKLFQoc, HYD 193934",110283.78,06-09-2002,20-06-1976,48,Other,1,13271.622,26028.0454,16357.41905,133226.0284,Both,Married,21,27,Sales,National Sales Manager
18,rsCEIoFW,"fEuEweIc St, tVHEqrUgRg, MUB 175099",87870.25,18-04-2020,24-01-1987,37,Female,1,4947.975,20738.23418,13033.0181,100523.4411,None,Married,4,16,Human Resources,Senior HR
